Source,Target,Weight
ADD,BAH,1
ADD,BEY,1
ADD,BKK,2
ADD,BOM,2
ADD,CAI,2
ADD,CAN,3
ADD,CDG,1
ADD,DEL,2
ADD,DMM,1
ADD,DOH,1
ADD,DXB,3
ADD,FCO,1
ADD,FRA,2
ADD,HKG,1
ADD,IST,1
ADD,JED,6
ADD,JNB,2
ADD,KWI,2
ADD,LHR,1
ADD,MCT,2
ADD,NBO,4
ADD,PEK,2
ADD,PVG,1
ADD,RUH,2
ADD,TLV,1
AGP,AMS,3
AGP,ARN,2
AGP,BCN,3
AGP,BGY,1
AGP,BHX,2
AGP,BLQ,1
AGP,BOD,1
AGP,BRS,2
AGP,BRU,5
AGP,BSL,1
AGP,BUD,1
AGP,CDG,3
AGP,CGN,3
AGP,CIA,1
AGP,CMN,2
AGP,CPH,4
AGP,CRL,1
AGP,DME,2
AGP,DUB,2
AGP,DUS,2
AGP,EDI,2
AGP,EIN,2
AGP,FCO,3
AGP,FRA,1
AGP,GLA,3
AGP,GOT,2
AGP,GVA,2
AGP,HAJ,2
AGP,HAM,4
AGP,HEL,2
AGP,IBZ,2
AGP,IST,1
AGP,KRK,1
AGP,LCY,2
AGP,LGW,6
AGP,LHR,2
AGP,LIS,2
AGP,LPA,2
AGP,LTN,3
AGP,LUX,1
AGP,LYS,2
AGP,MAD,2
AGP,MAN,5
AGP,MRS,1
AGP,MUC,5
AGP,MXP,1
AGP,NTE,2
AGP,ORY,3
AGP,OSL,2
AGP,PMI,5
AGP,PRG,1
AGP,SOF,1
AGP,STN,2
AGP,STR,2
AGP,SVO,2
AGP,SXF,1
AGP,TLS,2
AGP,TXL,2
AGP,VIE,2
AGP,VKO,1
AGP,VLC,1
AGP,WAW,1
AGP,YUL,1
AGP,ZRH,1
AKL,BKK,2
AKL,BNE,7
AKL,CAN,1
AKL,HKG,2
AKL,ICN,1
AKL,KUL,1
AKL,LAX,2
AKL,MEL,7
AKL,NRT,3
AKL,PER,2
AKL,PVG,2
AKL,SCL,2
AKL,SFO,2
AKL,SIN,3
AKL,SYD,10
ALC,ALG,1
ALC,AMS,3
ALC,ARN,2
ALC,BCN,2
ALC,BGY,1
ALC,BHX,4
ALC,BLQ,1
ALC,BRS,3
ALC,BRU,4
ALC,BSL,1
ALC,CGN,1
ALC,CPH,3
ALC,CRL,1
ALC,DME,4
ALC,DUB,2
ALC,DUS,1
ALC,EDI,3
ALC,EIN,2
ALC,FCO,2
ALC,FRA,1
ALC,GLA,3
ALC,GOT,1
ALC,GVA,1
ALC,HAM,2
ALC,HEL,1
ALC,IBZ,2
ALC,KEF,2
ALC,KRK,1
ALC,LGW,6
ALC,LPA,1
ALC,LTN,2
ALC,MAD,1
ALC,MAN,5
ALC,MUC,2
ALC,ORY,2
ALC,OSL,2
ALC,PMI,3
ALC,STN,1
ALC,STR,1
ALC,TFS,1
ALC,TXL,1
ALC,ZRH,1
ALG,ALC,1
ALG,AMM,2
ALG,BCN,3
ALG,BEY,1
ALG,BOD,1
ALG,BRU,1
ALG,CAI,2
ALG,CDG,5
ALG,CGN,1
ALG,CMN,2
ALG,DOH,1
ALG,DXB,2
ALG,FCO,2
ALG,FRA,2
ALG,GVA,1
ALG,IST,2
ALG,LGW,1
ALG,LHR,1
ALG,LIS,2
ALG,LYS,2
ALG,MAD,2
ALG,MED,1
ALG,MLA,1
ALG,MRS,3
ALG,MXP,1
ALG,NCE,1
ALG,ORY,2
ALG,PEK,1
ALG,PMI,1
ALG,SVO,1
ALG,TLS,2
ALG,TUN,2
ALG,VIE,1
ALG,YUL,1
AMM,ALG,2
AMM,AMS,1
AMM,ATH,1
AMM,AUH,3
AMM,BAH,2
AMM,BCN,2
AMM,BEY,3
AMM,BKK,2
AMM,BOM,1
AMM,CAI,3
AMM,CDG,2
AMM,DEL,1
AMM,DME,2
AMM,DMM,1
AMM,DOH,2
AMM,DXB,4
AMM,FCO,3
AMM,FRA,3
AMM,GVA,1
AMM,IST,2
AMM,JED,4
AMM,JFK,3
AMM,KBP,1
AMM,KWI,3
AMM,LCA,1
AMM,LHR,2
AMM,MAD,2
AMM,MCT,2
AMM,MED,3
AMM,MUC,2
AMM,ORD,3
AMM,OTP,2
AMM,RUH,3
AMM,SHJ,1
AMM,TLV,2
AMM,TUN,1
AMM,TXL,2
AMM,VIE,3
AMM,YUL,3
AMM,ZRH,1
AMS,AGP,3
AMS,ALC,3
AMS,AMM,1
AMS,ARN,4
AMS,ATH,2
AMS,ATL,2
AMS,AUA,2
AMS,AUH,7
AMS,AYT,2
AMS,BCN,5
AMS,BEG,2
AMS,BHX,2
AMS,BKK,3
AMS,BLQ,3
AMS,BOD,3
AMS,BOM,2
AMS,BOS,2
AMS,BRS,3
AMS,BRU,1
AMS,BSL,3
AMS,BUD,1
AMS,CAI,2
AMS,CAN,2
AMS,CDG,3
AMS,CGN,2
AMS,CMN,2
AMS,CPH,6
AMS,CTU,2
AMS,DEL,1
AMS,DFW,2
AMS,DMM,3
AMS,DOH,3
AMS,DTW,2
AMS,DUB,1
AMS,DUS,2
AMS,DXB,3
AMS,EDI,2
AMS,EWR,4
AMS,EZE,1
AMS,FAO,1
AMS,FCO,4
AMS,FRA,4
AMS,FUK,1
AMS,GDN,1
AMS,GIG,1
AMS,GLA,3
AMS,GOT,1
AMS,GRU,1
AMS,GVA,2
AMS,HAJ,2
AMS,HAM,3
AMS,HAV,1
AMS,HEL,4
AMS,HER,1
AMS,HGH,2
AMS,HKG,2
AMS,IAD,4
AMS,IAH,4
AMS,IBZ,3
AMS,ICN,2
AMS,IKA,1
AMS,IST,2
AMS,JFK,2
AMS,JNB,1
AMS,KBP,2
AMS,KEF,1
AMS,KIX,1
AMS,KRK,1
AMS,KUL,3
AMS,KWI,3
AMS,LAX,2
AMS,LCA,2
AMS,LCY,4
AMS,LED,2
AMS,LGW,2
AMS,LHR,5
AMS,LIM,2
AMS,LIS,8
AMS,LPA,1
AMS,LTN,1
AMS,LUX,1
AMS,LYS,2
AMS,MAD,3
AMS,MAN,3
AMS,MEX,1
AMS,MLA,2
AMS,MRS,2
AMS,MSP,2
AMS,MSQ,1
AMS,MUC,2
AMS,MXP,1
AMS,NAP,1
AMS,NBO,3
AMS,NCE,3
AMS,NRT,1
AMS,NTE,2
AMS,OPO,4
AMS,ORD,4
AMS,OSL,3
AMS,OTP,2
AMS,PEK,2
AMS,PHL,2
AMS,PMI,3
AMS,PRG,4
AMS,PUJ,1
AMS,PVG,3
AMS,RAK,1
AMS,RIX,2
AMS,SAW,3
AMS,SEA,2
AMS,SFO,2
AMS,SIN,2
AMS,SKG,1
AMS,SOF,1
AMS,STN,1
AMS,STR,1
AMS,SVO,2
AMS,SXF,1
AMS,TFS,1
AMS,TLS,2
