Source;Target;Weight;Type
EN_1771_Mackenzie,Henry_TheManofFeeling_Novel;EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;1;undirected
EN_1771_Mackenzie,Henry_TheManofFeeling_Novel;EN_1814_Scott,Walter_Waverley_Novel;2;undirected
EN_1771_Mackenzie,Henry_TheManofFeeling_Novel;EN_1843_Borrow,George_TheBibleinSpain_Novel;3;undirected
EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;EN_1771_Mackenzie,Henry_TheManofFeeling_Novel;1;undirected
EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;EN_1809_More,Hannah_CoelebsinSearchofaWife_Novel;3;undirected
EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;EN_1814_Scott,Walter_Waverley_Novel;3;undirected
EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;EN_1817_Scott,Walter_RobRoy_Novel;2;undirected
EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel;EN_1826_Disraeli,Benjamin_VivianGrey_Novel;1;undirected
EN_1778_Burney,Fanny_Evelina_Novel;EN_1782_Burney,Fanny_Cecilia_Novel;5;undirected
EN_1778_Burney,Fanny_Evelina_Novel;EN_1801_Edgeworth,Maria_Belinda_Novel;3;undirected
EN_1778_Burney,Fanny_Evelina_Novel;EN_1806_Edgeworth,Maria_Leonora_Novel;1;undirected
EN_1778_Burney,Fanny_Evelina_Novel;EN_1848_Bronte,Ann_TheTenantofWildfellHall_Novel;1;undirected
EN_1782_Burney,Fanny_Cecilia_Novel;EN_1778_Burney,Fanny_Evelina_Novel;5;undirected
EN_1782_Burney,Fanny_Cecilia_Novel;EN_1796_Burney,Fanny_Camilla_Novel;6;undirected
EN_1782_Burney,Fanny_Cecilia_Novel;EN_1801_Edgeworth,Maria_Belinda_Novel;1;undirected
EN_1786_Beckford,William_Vathek_Novel;EN_1814_Scott,Walter_Waverley_Novel;1;undirected
EN_1786_Beckford,William_Vathek_Novel;EN_1820_Scott,Walter_Ivanhoe_Novel;2;undirected
EN_1786_Beckford,William_Vathek_Novel;EN_1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel;3;undirected
EN_1788_Wollstonecraft,Mary_Mary_Novel;EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel;2;undirected
EN_1788_Wollstonecraft,Mary_Mary_Novel;EN_1796_Bonhote,Elizabeth_BungayCastle_Novel;1;undirected
EN_1788_Wollstonecraft,Mary_Mary_Novel;EN_1798_Wollstonecraft,Mary_Maria_Novel;3;undirected
EN_1790_Radcliffe,Ann_ASicilianRomance_Novel;EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel;3;undirected
EN_1790_Radcliffe,Ann_ASicilianRomance_Novel;EN_1814_Scott,Walter_Waverley_Novel;2;undirected
EN_1790_Radcliffe,Ann_ASicilianRomance_Novel;EN_1904_Murfree,MaryNoailles_TheFrontiersman_Novel;1;undirected
EN_1794_Godwin,William_CalebWilliams_Novel;EN_1798_Brown,CharlesBrockden_Wieland_Novel;3;undirected
EN_1794_Godwin,William_CalebWilliams_Novel;EN_1799_Brown,CharlesBrockden_ArthurMervyn_Novel;5;undirected
EN_1794_Godwin,William_CalebWilliams_Novel;EN_1817_Scott,Walter_RobRoy_Novel;2;undirected
EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel;EN_1788_Wollstonecraft,Mary_Mary_Novel;2;undirected
